bookID,title,authors,isbn,isbn13
17435,Physics for Scientists and Engineers,Douglas C. Giancoli,132431068,9780132431064
17437,Physics: for Scientists and Engineers with Modern Physics,Paul M. Fishbane/Stephen Gasiorowicz/Stephen T. Thornton,130352993,9780130352996
17461,Misty of Chincoteague (Misty  #1),Marguerite Henry/Wesley Dennis,1416927832,9781416927839
17468,Black Beauty,Anna Sewell/Scott McKowen,1402714521,9781402714528
17473,Black Beauty (Coloring Book),Anna Sewell/John         Green,048629272X,9780486292724
17488,Five on a Treasure Island (Famous Five  #1),Enid Blyton,340796146,9780340796146
17496,The Secret Seven (The Secret Seven  #1),Enid Blyton,340917547,9780340917541
17503,The Circus of Adventure,Enid Blyton,330244779,9780330244770
17506,La gata perdida = The Missing Cat (Las Aventuras de Nicolas = Adventures with Nicholas),Chris L. Demarest/Berlitz Publishing Company,9812468234,9789812468239
17510,La Chatte Perdue = The Missing Cat (Les Aventures avec Nicolas = Adventures with Nicholas),Chris L. Demarest,981246820X,9789812468208
17511,The Mystery of the Missing Cat,Gertrude Chandler Warner/Charles Tang,785759379,9780785759379
17513,Die Verschwundene Katze = The Missing Cat,Chris L. Demarest,2831557437,9782831557434
17518,The Trolley Car Family,Eleanor Clymer/Ursula Koering,590407325,9780590407328
17533,Rose in Bloom (Eight Cousins  #2),Louisa May Alcott,316030899,9780316030892
17544,The Quiet Little Woman: A Christmas Story,Louisa May Alcott/C. Michael Dudash/Stephen W. Hines,1562926160,9781562926168
17546,Louisa May Alcott on Race  Sex  and Slavery,Louisa May Alcott/Sarah Elbert,1555533078,9781555533076
17548,An Old-Fashioned Thanksgiving,Louisa May Alcott/James Bernardin,60004509,9780060004507
17550,Moods,Louisa May Alcott,813516706,9780813516707
17557,The Girlhood Diary of Louisa May Alcott  1843-1846: Writings of a Young Author,Louisa May Alcott/Kerry A. Graves,736805990,9780736805995
17580,These Happy Golden Years (Little House  #8),Laura Ingalls Wilder/Garth Williams,590488120,9780590488129
17581,Pioneer Girl: The Story of Laura Ingalls Wilder,William   Anderson/Dan Andreasen,006446234X,9780064462341
17582,The Norton Anthology of Short Fiction,Richard Bausch,393926117,9780393926118
17593,Red  White  and Black: The Peoples of Early North America,Gary B. Nash,139567569,9780139567568
17600,Homemade Love,bell hooks/Shane W. Evans,786806435,9780786806430
17601,The Will to Change: Men  Masculinity  and Love,bell hooks,743456084,9780743456081
17602,Killing Rage: Ending Racism,bell hooks,805050272,9780805050271
17603,Where We Stand: Class Matters,bell hooks,041592913X,9780415929134
17607,All About Love: New Visions,bell hooks,688168442,9780688168445
17608,Everybody Was Kung Fu Fighting: Afro-Asian Connections and the Myth of Cultural Purity,Vijay Prashad,807050113,9780807050118
17609,The Darker Nations: A People's History of the Third World,Vijay Prashad/Howard Zinn,1565847857,9781565847859
17610,The Karma Of Brown Folk,Vijay Prashad,816634394,9780816634392
17619,The Negro,W.E.B. Du Bois/Robert Gregg,812217756,9780812217759
17624,Democracy Matters: Winning the Fight Against Imperialism,Cornel West,1594200297,9781594200298
17632,Tyranny of the Majority: Fundamental Fairness in Representative Democracy,Lani Guinier/Stephen L. Carter,29131693,9780029131695
17635,More Readings From One Man's Wilderness: The Journals of Richard L. Proenneke  1974-1980,Richard Proenneke/John Branson,160729947,9780160729942
17639,The Guardship (Thomas Marlowe  #1),James L. Nelson,380804522,9780380804528
17643,Before We Were Free,Julia Alvarez,044023784X,9780440237846
17644,Moral Disorder and Other Stories,Margaret Atwood,385503849,9780385503846
17645,The Penelopiad,Margaret Atwood/Laurel Merlington,1841957178,9781841957173
17646,The Tent,Margaret Atwood,385516681,9780385516686
17650,The Robber Bride,Margaret Atwood,385491034,9780385491037
17654,The Moth Diaries,Rachel Klein,571219713,9780571219711
17658,Trauma,Graham Masterton,451205553,9780451205551
17671,Liars and Saints,Maile Meloy,743261984,9780743261982
17673,The Anthropology of Turquoise: Reflections on Desert  Sea  Stone  and Sky,Ellen Meloy,375708138,9780375708138
17675,Eating Stone: Imagination and the Loss of the Wild,Ellen Meloy,140003177X,9781400031771
17679,Writing the Qualitative Dissertation: Understanding by Doing,Judith M. Meloy,805832890,9780805832891
17682,The Dead Beat: Lost Souls  Lucky Stiffs  and the Perverse Pleasures of Obituaries,Marilyn Johnson,60758767,9780060758769
17683,Dead Beat (The Dresden Files  #7),Jim Butcher,045146091X,9780451460912
17686,Diaries  1910-1923,Franz Kafka/Max Brod/Joseph Kresh/Martin Greenberg,805209069,9780805209068
17687,The Metamorphosis,Franz Kafka,1419172697,9781419172694
17688,The Metamorphosis  In the Penal Colony  and Other Stories: The Great Short Works of Franz Kafka,Franz Kafka,684800705,9780684800707
17690,The Trial,Franz Kafka/Max Brod/Willa Muir/Edwin Muir,99428644,9780099428640
17691,Franz Kafka: The Complete Stories,Franz Kafka/Nabum N. Glazer/John Updike,805238638,9780805238631
17692,The Trial,Franz Kafka/Breon Mitchell/Arthur H. Samuelson,805209999,9780805209990
17694,The Zürau Aphorisms,Franz Kafka/Michael Hofmann/Geoffrey Brock/Roberto Calasso,805212078,9780805212075
17697,Collected Shorter Fiction: Volume I,Leo Tolstoy/Aylmer Maude/Nigel J. Cooper,375411720,9780375411724
17698,The Cossacks,Leo Tolstoy/Peter Constantine/Cynthia Ozick,812975049,9780812975048
17701,More Adventures of the Great Brain (Great Brain  #2),John D. Fitzgerald/Mercer Mayer,142400653,9780142400654
17702,The Dirt: Confessions of the World's Most Notorious Rock Band,Neil Strauss/Vince Neil/Nikki Sixx/Tommy Lee/Mick Mars,60392886,9780060392888
17707,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams,671746065,9780671746063
17722,Alice's Adventures in Wonderland & Through the Looking-Glass,Lewis Carroll/John Tenniel,553213458,9780553213454
17724,The Awakening,Kate Chopin/Margo Culley,393960579,9780393960570
17726,Go Down  Moses,William Faulkner,679732179,9780679732174
17727,The Books of Magic,Neil Gaiman/John Bolton/Scott Hampton/Charles Vess/Paul Johnson/Roger Zelazny,1563890828,9781563890826
17728,The House of Mirth,Edith Wharton/Nina Bawden,1844082938,9781844082933
17730,House of Mirth,Edith Wharton,1600962203,9781600962202
17733,The House of Mirth,Edith Wharton/Jeffrey Meyers,1593081049,9781593081041
17735,Light (Kefahuchi Tract  #1),M. John Harrison,553382950,9780553382952
17743,Beautiful Evidence,Edward R. Tufte,961392177,9780961392178
17747,The Cognitive Style of PowerPoint: Pitching Out Corrupts Within,Edward R. Tufte,961392169,9780961392161
17761,Hafen des Unglücks (Aubrey/Maturin Book 11),Patrick O'Brian,3548256422,9783548256429
17762,Manöver um Feuerland (The Far Side of the World) (Aubrey/Maturin Book 10),Patrick O'Brian,3548254438,9783548254432
17766,Master and Commander (Aubrey/Maturin Book 1),Patrick O'Brian,073931565X,9780739315651
17770,Post Captain (Aubrey/Maturin Book 2),Patrick O'Brian,039700804X,9780397008049
17778,Gefahr im Roten Meer (Treason's Harbour) (Aubrey/Maturin Book 9),Patrick O'Brian,3548254357,9783548254357
17780,In the Heart of the Sea: The Tragedy of the Whaleship Essex,Nathaniel Philbrick,141001828,9780141001821
17781,Heart of the Sea (Gallaghers of Ardmore  #3),Nora Roberts,515128554,9780515128550
17783,Corazón de mar (Gallagher  #3),Nora Roberts/Juan Larrea,8466307257,9788466307253
17795,Banvard's Folly: Thirteen Tales of People Who Didn't Change the World,Paul  Collins,312300336,9780312300333
17798,Fads and Fallacies in the Name of Science,Martin Gardner,486203948,9780486203942
17799,South of the Border  West of the Sun,Haruki Murakami/Philip Gabriel,99448572,9780099448570
17800,Dance Dance Dance,Haruki Murakami,99448769,9780099448761
17803,After Dark,Haruki Murakami/Jay Rubin,307265838,9780307265838
17804,Vintage Murakami,Haruki Murakami,1400033969,9781400033966
17807,Gravitation #2,Maki Murakami,848449487X,9788484494874
17828,The Master and Margarita,Mikhail Bulgakov/Michael Karpelson,1411683056,9781411683051
17830,Bulgakov's the Master and Margarita: The Text as a Cipher,Elena N. Mahlow,533017424,9780533017423
17837,Мастер и Маргарита,Mikhail Bulgakov/Михаил Булгаков,5040019521,9785040019526
17841,Foucault's Pendulum,Umberto Eco/William Weaver,015603297X,9780156032971
17845,Pendulum: Leon Foucault and the Triumph of Science,Amir D. Aczel,743464796,9780743464796
17846,The House of Mirth,Edith Wharton/Jeffrey Meyers,1593081537,9781593081539
17850,The House of Mirth,Edith Wharton/R.W.B. Lewis,814749763,9780814749760
17861,The Family Trade (The Merchant Princes  #1),Charles Stross,765348217,9780765348210
17862,Toast  and Other Stories,Charles Stross,809556030,9780809556038
17863,Accelerando,Charles Stross,441014151,9780441014156
17866,Glasshouse,Charles Stross,441014038,9780441014033
17867,The Hidden Family (The Merchant Princes  #2),Charles Stross,765352052,9780765352057
17872,Lobsters,Charles Stross/Shandra Marie/Jared Doreck,1884612466,9781884612466
17873,Antibodies,Charles Stross/Shandra Marie/Jared Doreck,1884612474,9781884612473
17876,Notes from Underground  White Nights  The Dream of a Ridiculous Man  and Selections from The House of the Dead,Fyodor Dostoyevsky/Andrew R. MacAndrew/Ben Marcus,451529553,9780451529558
17877,The House of the Dead,Fyodor Dostoyevsky/Ergin Altay,486434095,9780486434094
17878,The Village of Stepanchikovo,Fyodor Dostoyevsky/Ignat Avsey,140446583,9780140446586
17879,Crime and Punishment,Fyodor Dostoyevsky/Larissa Volokhonsky/Richard Pevear,679420290,9780679420293
17880,The Gambler,Fyodor Dostoyevsky/Jonathan Franzen,184391123X,9781843911234
17881,Notes from Underground & The Double,Fyodor Dostoyevsky/Jessie Coulson,140442529,9780140442526
17883,Notes from Underground & A Confession (Everyman's Library),A.D.P. Briggs/Leo Tolstoy/Fyodor Dostoyevsky,460874489,9780460874489
17890,The Gambler/Bobok/A Nasty Story,Fyodor Dostoyevsky/Jessie Coulson,140441794,9780140441796
17891,The Idiot,Fyodor Dostoyevsky/Constance Garnett,486432130,9780486432137
17893,Netochka Nezvanova,Fyodor Dostoyevsky/Jane Kentish,140444556,9780140444551
17905,Plays 5: Arcadia / The Real Thing / Night and Day / Indian Ink / Hapgood,Tom Stoppard,571197515,9780571197514
17908,Rock 'n' Roll,Tom Stoppard,802143075,9780802143075
17914,The Real Thing,Tom Stoppard,571125298,9780571125296
17915,Arcadia,Tom Stoppard,1568651376,9781568651378
17918,Plays 1: The Real Inspector Hound / After Magritte / Dirty Linen / New-Found-Land / Dogg's Hamlet  Cahoot's Macbeth,Tom Stoppard,571177654,9780571177653
17922,Every Good Boy Deserves Favor & Professional Foul,Tom Stoppard,802150454,9780802150455
17926,Lord Malquist and Mr. Moon,Tom Stoppard,802142710,9780802142719
17944,The Gunslinger (The Dark Tower #1),Stephen King,451160525,9780451160522
17945,Everything and Nothing,Jorge Luis Borges/Eliot Weinberger/John M. Fein/James E. Irby/Donald A. Yates,811214001,9780811214001
